norm_year_male,norm_field_male,norm_province_male
0.75,1.0,0.9078947368421052
0.75,0.0,0.7401315789473684
0.25,0.6590909090909092,0.6743421052631579
0.0,0.5909090909090908,0.6743421052631579
0.25,0.022727272727272707,0.3388157894736842
0.0,0.5909090909090908,0.17434210526315788
0.5,0.5909090909090908,0.25
0.0,0.022727272727272707,0.02631578947368421
0.25,1.0,0.02631578947368421
0.75,1.0,0.5953947368421052
0.75,0.022727272727272707,0.5953947368421052
0.75,0.022727272727272707,0.8684210526315789
1.0,0.022727272727272707,0.638157894736842
1.0,1.0,0.7697368421052632
0.5,0.6363636363636365,0.4375
0.75,0.0,0.638157894736842
1.0,0.5909090909090908,0.638157894736842
0.25,0.6590909090909092,0.8355263157894737
1.0,1.0,0.3651315789473684
0.75,0.0,0.8684210526315789
0.0,0.0,0.08552631578947367
0.25,0.022727272727272707,0.6907894736842105
0.25,0.0,0.17434210526315788
0.0,0.0,0.3651315789473684
0.5,0.022727272727272707,0.9671052631578946
0.75,0.5909090909090908,0.7697368421052632
1.0,0.022727272727272707,0.11184210526315788
0.0,0.6590909090909092,0.638157894736842
0.0,0.0,0.8355263157894737
0.75,1.0,0.13486842105263158
0.0,0.6363636363636365,0.9999999999999999
1.0,1.0,0.7927631578947368
0.25,0.5909090909090908,0.2664473684210526
0.5,0.6590909090909092,0.3651315789473684
0.75,0.022727272727272707,0.7927631578947368
0.5,0.6363636363636365,0.25
0.5,1.0,0.7401315789473684
1.0,0.6363636363636365,0.7697368421052632
0.0,0.6363636363636365,0.3651315789473684
0.0,0.6363636363636365,0.48026315789473684
0.0,0.6590909090909092,0.8684210526315789
0.5,1.0,0.4375
1.0,0.6590909090909092,0.9999999999999999
0.0,0.5909090909090908,0.9243421052631579
0.75,0.022727272727272707,0.9243421052631579
0.75,0.5909090909090908,0.9671052631578946
0.5,0.6590909090909092,0.0
0.5,0.022727272727272707,0.2664473684210526
0.0,0.6590909090909092,0.2664473684210526
0.0,0.6590909090909092,0.4375
0.5,0.6363636363636365,0.40789473684210525
0.25,1.0,0.40789473684210525
0.5,1.0,0.0
0.0,1.0,0.5723684210526315
0.25,0.5909090909090908,0.30921052631578944
